Designator,Layer,Mid X,Mid Y,Rotation
SW23_00_00,Top,29.006800000000002mm,43.0106mm,0
SW24_00_00,Top,29.006800000000002mm,36.9908mm,0
SW25_00_00,Top,29.006800000000002mm,30.996399999999998mm,0
D1_00_01,Top,94.60379999999999mm,57.9966mm,180
D2_00_01,Top,94.60379999999999mm,52.0022mm,180
D3_00_01,Top,94.60379999999999mm,46.007799999999996mm,180
D4_00_01,Top,94.60379999999999mm,39.988mm,180
D5_00_01,Top,94.60379999999999mm,33.9936mm,180
D6_00_01,Top,100.59819999999999mm,57.9966mm,180
D7_00_01,Top,100.59819999999999mm,52.0022mm,180
D8_00_01,Top,100.59819999999999mm,46.007799999999996mm,180
D9_00_01,Top,100.59819999999999mm,39.988mm,180
D10_00_01,Top,100.59819999999999mm,33.9936mm,180
D11_00_01,Top,106.59259999999999mm,57.9966mm,180
D12_00_01,Top,106.59259999999999mm,52.0022mm,180
D13_00_01,Top,106.59259999999999mm,46.007799999999996mm,180
D14_00_01,Top,106.59259999999999mm,39.988mm,180
D15_00_01,Top,106.59259999999999mm,33.9936mm,180
D16_00_01,Top,112.6124mm,57.9966mm,180
D17_00_01,Top,112.6124mm,52.0022mm,180
D18_00_01,Top,112.6124mm,46.007799999999996mm,180
D19_00_01,Top,112.6124mm,39.988mm,180
D20_00_01,Top,112.6124mm,33.9936mm,180
D21_00_01,Top,118.60679999999999mm,57.9966mm,180
D22_00_01,Top,118.60679999999999mm,52.0022mm,180
D23_00_01,Top,118.60679999999999mm,46.007799999999996mm,180
D24_00_01,Top,118.60679999999999mm,39.988mm,180
D25_00_01,Top,118.60679999999999mm,33.9936mm,180
D26_00_01,Top,128.589mm,52.992799999999995mm,180
D27_00_01,Top,128.589mm,49.004999999999995mm,180
D28_00_01,Top,128.589mm,44.99179999999999mm,180
D29_00_01,Top,128.589mm,41.004mm,180
D30_00_01,Top,132.60219999999998mm,52.992799999999995mm,180
D31_00_01,Top,132.60219999999998mm,49.004999999999995mm,180
D32_00_01,Top,132.60219999999998mm,44.99179999999999mm,180
D33_00_01,Top,132.60219999999998mm,41.004mm,180
D34_00_01,Top,136.59mm,52.992799999999995mm,180
D35_00_01,Top,136.59mm,49.004999999999995mm,180
D36_00_01,Top,136.59mm,44.99179999999999mm,180
D37_00_01,Top,136.59mm,41.004mm,180
D38_00_01,Top,140.6032mm,52.992799999999995mm,180
D39_00_01,Top,140.6032mm,49.004999999999995mm,180
D40_00_01,Top,140.6032mm,44.99179999999999mm,180
D41_00_01,Top,140.6032mm,41.004mm,180
D42_00_01,Top,149.5948mm,49.004999999999995mm,180
D43_00_01,Top,149.5948mm,44.99179999999999mm,180
D44_00_01,Top,149.5948mm,41.004mm,180
D45_00_01,Top,153.608mm,49.004999999999995mm,180
D46_00_01,Top,153.608mm,44.99179999999999mm,180
D47_00_01,Top,153.608mm,41.004mm,180
D48_00_01,Top,157.5958mm,49.004999999999995mm,180
D49_00_01,Top,157.5958mm,44.99179999999999mm,180
